theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-1.000000000000000888e-02,-2.310863527868855204e-03,-3.800128758332974271e-04,5.540939181609179018e-03,5.538364165223011969e-03,-1.387778780781445676e-17,0.000000000000000000e+00
-7.500000000000006661e-03,-2.364895780122993219e-03,-4.069392987118590553e-04,5.540363358284407756e-03,5.538829342775762957e-03,0.000000000000000000e+00,0.000000000000000000e+00
-5.000000000000004441e-03,-2.418516165862214917e-03,-4.336505458762183020e-04,5.539797251683570636e-03,5.539288315020343863e-03,0.000000000000000000e+00,0.000000000000000000e+00
-2.500000000000002220e-03,-2.471717430009375775e-03,-4.601487123923199527e-04,5.539240887967819028e-03,5.539741082991803470e-03,2.775557561562891351e-17,0.000000000000000000e+00
0.000000000000000000e+00,-2.524492411787110195e-03,-4.864359457702449032e-04,5.538694288172742002e-03,5.540187652402320771e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000002220e-03,-2.576834044758328623e-03,-5.125144445015678701e-04,5.538157468449163290e-03,5.540628033389757671e-03,1.387778780781445676e-17,0.000000000000000000e+00
5.000000000000004441e-03,-2.628735356822362989e-03,-5.383864565708847963e-04,5.537630440310176323e-03,5.541062240260527863e-03,2.775557561562891351e-17,0.000000000000000000e+00
7.500000000000006661e-03,-2.680189470167561490e-03,-5.640542779421722384e-04,5.537113210883824049e-03,5.541490291227369955e-03,1.387778780781445676e-17,0.000000000000000000e+00
9.999999999999981126e-03,-2.731189601181236489e-03,-5.895202510207234745e-04,5.536605783170872770e-03,5.541912208142529654e-03,-1.387778780781445676e-17,0.000000000000000000e+00
1.249999999999998335e-02,-2.781729060317822497e-03,-6.147867630914014610e-04,5.536108156307105801e-03,5.542328016226988514e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999998557e-02,-2.831801251926102051e-03,-6.398562447339920314e-04,5.535620325829541076e-03,5.542737743796247521e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.749999999999998779e-02,-2.881399674036517339e-03,-6.647311682163590304e-04,5.535142283945978549e-03,5.543141421983308233e-03,2.775557561562891351e-17,0.000000000000000000e+00
1.999999999999999001e-02,-2.930517918109428865e-03,-6.894140458662562781e-04,5.534674019807271118e-03,5.543539084459406588e-03,4.163336342344337027e-17,0.000000000000000000e+00
2.249999999999999223e-02,-2.979149668745355480e-03,-7.139074284225202863e-04,5.534215519781710176e-03,5.543930767153110867e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999445e-02,-3.027288703358180233e-03,-7.382139033665105444e-04,5.533766767730918627e-03,5.544316507968384024e-03,1.387778780781445676e-17,0.000000000000000000e+00
2.749999999999999667e-02,-3.074928891812335995e-03,-7.623360932345136023e-04,5.533327745286599139e-03,5.544696346502214074e-03,1.387778780781445676e-17,0.000000000000000000e+00
