theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-1.700000000000000122e-01,4.163393820612805440e-02,1.828739746110768019e-03,5.038986011799128154e-03,5.101565930555539488e-03,3.801846490137736345e-02,0.000000000000000000e+00
-1.675000000000000100e-01,4.090173245398905089e-02,1.896034116088551750e-03,5.035855762726733006e-03,5.099410825180010660e-03,3.731921981716962433e-02,0.000000000000000000e+00
-1.650000000000000078e-01,4.017130763208320160e-02,1.962857310172659402e-03,5.032794036933432164e-03,5.097227352296981699e-03,3.662240502351232774e-02,0.000000000000000000e+00
-1.625000000000000056e-01,3.944276594655254237e-02,2.029200773487570535e-03,5.029800046939827095e-03,5.095017267702439505e-03,3.592811628772527022e-02,0.000000000000000000e+00
-1.600000000000000033e-01,3.871620881198095665e-02,2.095056060277422465e-03,5.026872986971661454e-03,5.092782344910030783e-03,3.523644856332658337e-02,0.000000000000000000e+00
-1.575000000000000011e-01,3.799173683438192978e-02,2.160414836453751139e-03,5.024012034793786351e-03,5.090524373229289405e-03,3.454749597287284923e-02,0.000000000000000000e+00
-1.550000000000000266e-01,3.726944979478771097e-02,2.225268882347296653e-03,5.021216353509025225e-03,5.088245155873337595e-03,3.386135179112076399e-02,0.000000000000000000e+00
-1.525000000000000244e-01,3.654944663343473454e-02,2.289610095658747065e-03,5.018485093319261653e-03,5.085946508097832948e-03,3.317810842851059983e-02,0.000000000000000000e+00
-1.500000000000000222e-01,3.583182543453984625e-02,2.353430494602431599e-03,5.015817393246334473e-03,5.083630255372796267e-03,3.249785741497282499e-02,0.000000000000000000e+00
-1.475000000000000200e-01,3.511668341166100660e-02,2.416722221236680505e-03,5.013212382810398361e-03,5.081298231588939583e-03,3.182068938405935299e-02,0.000000000000000000e+00
-1.450000000000000178e-01,3.440411689363583048e-02,2.479477544973871048e-03,5.010669183663638698e-03,5.078952277299922033e-03,3.114669405739894925e-02,0.000000000000000000e+00
-1.425000000000000155e-01,3.369422131109028884e-02,2.541688866262767962e-03,5.008186911177376147e-03,5.076594238001930041e-03,3.047596022948023675e-02,0.000000000000000000e+00
-1.400000000000000133e-01,3.298709118350996033e-02,2.603348720435297477e-03,5.005764675980747293e-03,5.074225962451852506e-03,2.980857575276057991e-02,0.000000000000000000e+00
-1.375000000000000111e-01,3.228282010686522180e-02,2.664449781709323298e-03,5.003401585449354129e-03,5.071849301025207167e-03,2.914462752310392757e-02,0.000000000000000000e+00
-1.350000000000000089e-01,3.158150074178146111e-02,2.724984867338674580e-03,5.001096745142415666e-03,5.069466104114890223e-03,2.848420146554797583e-02,0.000000000000000000e+00
-1.325000000000000067e-01,3.088322480224482691e-02,2.784946941901202382e-03,4.998849260187173543e-03,5.067078220571709368e-03,2.782738252040081739e-02,0.000000000000000000e+00
-1.300000000000000044e-01,3.018808304483381125e-02,2.844329121715218674e-03,4.996658236609389375e-03,5.064687496187534645e-03,2.717425462966996386e-02,0.000000000000000000e+00
-1.275000000000000022e-01,2.949616525846624968e-02,2.903124679374321105e-03,4.994522782609072536e-03,5.062295772221829526e-03,2.652490072382299169e-02,0.000000000000000000e+00
-1.250000000000000000e-01,2.880756025465111905e-02,2.961327048390322274e-03,4.992442009780612665e-03,5.059904883972185866e-03,2.587940270888122729e-02,0.000000000000000000e+00
-1.225000000000000117e-01,2.812235585823409656e-02,3.018929827933530818e-03,4.990415034276779113e-03,5.057516659389375314e-03,2.523784145384905253e-02,0.000000000000000000e+00
-1.200000000000000094e-01,2.744063889862546554e-02,3.075926787659456416e-03,4.988440977916116376e-03,5.055132917737358705e-03,2.460029677847749841e-02,0.000000000000000000e+00
-1.175000000000000072e-01,2.676249520149878020e-02,3.132311872610733707e-03,4.986518969233531655e-03,5.052755468298525746e-03,2.396684744136501344e-02,0.000000000000000000e+00
-1.150000000000000050e-01,2.608800958094823277e-02,3.188079208182704929e-03,4.984648144473949674e-03,5.050386109124383599e-03,2.333757112839573988e-02,0.000000000000000000e+00
-1.125000000000000028e-01,2.541726583209255250e-02,3.243223105141003048e-03,4.982827648529117130e-03,5.048026625831765479e-03,2.271254444151621366e-02,0.000000000000000000e+00
-1.100000000000000144e-01,2.475034672411295308e-02,3.297738064679218723e-03,4.981056635817794447e-03,5.045678790444518488e-03,2.209184288785301375e-02,0.000000000000000000e+00
-1.075000000000000122e-01,2.408733399371261810e-02,3.351618783504564398e-03,4.979334271109706923e-03,5.043344360280583964e-03,2.147554086916955707e-02,0.000000000000000000e+00
-1.050000000000000100e-01,2.342830833898475532e-02,3.404860158939369916e-03,4.977659730293799122e-03,5.041025076884166761e-03,2.086371167166720109e-02,0.000000000000000000e+00
-1.025000000000000078e-01,2.277334941367636922e-02,3.457457294025994242e-03,4.976032201091470757e-03,5.038722665002702029e-03,2.025642745612660223e-02,0.000000000000000000e+00
-1.000000000000000056e-01,2.212253582183469278e-02,3.509405502622874474e-03,4.974450883715617229e-03,5.036438831608127699e-03,1.965375924839710131e-02,0.000000000000000000e+00
-9.750000000000000333e-02,2.147594511282312560e-02,3.560700314479130647e-03,4.972914991476413277e-03,5.034175264961945721e-03,1.905577693022786345e-02,0.000000000000000000e+00
-9.500000000000001499e-02,2.083365377669343932e-02,3.611337480275286175e-03,4.971423751334959514e-03,5.031933633723400731e-03,1.846254923044851615e-02,0.000000000000000000e+00
-9.250000000000001277e-02,2.019573723990111466e-02,3.661312976617588782e-03,4.969976404405967128e-03,5.029715586100044072e-03,1.787414371649506672e-02,0.000000000000000000e+00
