theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
-1.700000000000000122e-01,1.383890667582825251e-02,-4.541135199773431441e-02,5.241566773550817605e-03,4.907255852620166434e-03,7.304294212834822053e-03,-3.907601692065226784e-02
-1.675000000000000100e-01,1.386169064656803118e-02,-4.461613789857760137e-02,5.241218938505756361e-03,4.904081613635072681e-03,7.293108087594826761e-03,-3.828836280269154457e-02
-1.650000000000000078e-01,1.388034181722235666e-02,-4.382591675285532618e-02,5.240826481461314905e-03,4.900975688731760115e-03,7.278130959026116176e-03,-3.750580429050187625e-02
-1.625000000000000056e-01,1.389488977789713788e-02,-4.304076442322491564e-02,5.240389771857602817e-03,4.897938820901615899e-03,7.259393517906373439e-03,-3.672841774445861907e-02
-1.600000000000000033e-01,1.390536506964844266e-02,-4.226075570312515933e-02,5.239909214082199077e-03,4.894971712520164095e-03,7.236927346476448863e-03,-3.595627845896023911e-02
-1.575000000000000011e-01,1.391179917027856282e-02,-4.148596430333886809e-02,5.239385247879658689e-03,4.892075024338488759e-03,7.210764902837271673e-03,-3.518946065140834967e-02
-1.550000000000000266e-01,1.391422447984042021e-02,-4.071646283881317357e-02,5.238818348730540225e-03,4.889249374518308752e-03,7.180939505247577181e-03,-3.442803745149536354e-02
-1.525000000000000244e-01,1.391267430585092606e-02,-3.995232281574506022e-02,5.238209028194929645e-03,4.886495337716873812e-03,7.147485316318730186e-03,-3.367208089079565259e-02
-1.500000000000000222e-01,1.390718284821426329e-02,-3.919361461893972054e-02,5.237557834215611843e-03,4.883813444227708307e-03,7.110437327115179396e-03,-3.292166189266057530e-02
-1.475000000000000200e-01,1.389778518385622295e-02,-3.844040749944957480e-02,5.236865351376223526e-03,4.881204179182978449e-03,7.069831341158919202e-03,-3.217685026241448587e-02
-1.450000000000000178e-01,1.388451725107122531e-02,-3.769276956250165733e-02,5.236132201109921364e-03,4.878667981822999364e-03,7.025703958341025790e-03,-3.143771467785128060e-02
-1.425000000000000155e-01,1.386741583358391122e-02,-3.695076775572148781e-02,5.235359041854319682e-03,4.876205244838143459e-03,6.978092558742973739e-03,-3.070432268002831755e-02
-1.400000000000000133e-01,1.384651854432763195e-02,-3.621446785766133103e-02,5.234546569148739933e-03,4.873816313788028980e-03,6.927035286368898870e-03,-2.997674066435793150e-02
-1.375000000000000111e-01,1.382186380894248438e-02,-3.548393446664093592e-02,5.233695515670060486e-03,4.871501486602557163e-03,6.872571032790514289e-03,-2.925503387199626659e-02
-1.350000000000000089e-01,1.379349084899589642e-02,-3.475923098990897631e-02,5.232806651203769296e-03,4.869261013168938758e-03,6.814739420707233153e-03,-2.853926638152554096e-02
-1.325000000000000067e-01,1.376143966492919361e-02,-3.404041963313310382e-02,5.231880782547175882e-03,4.867095095008502903e-03,6.753580787422650000e-03,-2.782950110093179719e-02
-1.300000000000000044e-01,1.372575101873393412e-02,-3.332756139022703679e-02,5.230918753341989684e-03,4.865003885046555697e-03,6.689136168238435376e-03,-2.712579975987650105e-02
-1.275000000000000022e-01,1.368646641636215786e-02,-3.262071603352256072e-02,5.229921443833940309e-03,4.862987487478197604e-03,6.621447279769321348e-03,-2.642822290226184978e-02
-1.250000000000000000e-01,1.364362808987517987e-02,-3.191994210429462825e-02,5.228889770557375305e-03,4.861045957732458046e-03,6.550556503177179524e-03,-2.573682987908912367e-02
-1.225000000000000117e-01,1.359727897933572967e-02,-3.122529690364763202e-02,5.227824685943210925e-03,4.859179302536684002e-03,6.476506867331643935e-03,-2.505167884161063618e-02
-1.200000000000000094e-01,1.354746271444900313e-02,-3.053683648377073304e-02,5.226727177848974719e-03,4.857387480082565184e-03,6.399342031891200322e-03,-2.437282673477408901e-02
-1.175000000000000072e-01,1.349422359595810195e-02,-2.985461563957011316e-02,5.225598269010064793e-03,4.855670400294733423e-03,6.319106270312790929e-03,-2.370032929096213548e-02
-1.150000000000000050e-01,1.343760657680015229e-02,-2.917868790068603446e-02,5.224439016411753026e-03,4.854027925202315276e-03,6.235844452789990333e-03,-2.303424102402451545e-02
-1.125000000000000028e-01,1.337765724302957503e-02,-2.850910552390213334e-02,5.223250510581858505e-03,4.852459869413335534e-03,6.149602029118808599e-03,-2.237461522360525978e-02
-1.100000000000000144e-01,1.331442179451522781e-02,-2.784591948595474542e-02,5.222033874804386973e-03,4.850966000691380939e-03,6.060425011496395342e-03,-2.172150394976499199e-02
-1.075000000000000122e-01,1.324794702541896158e-02,-2.718917947674916874e-02,5.220790264254866579e-03,4.849546040633377457e-03,5.968359957251742620e-03,-2.107495802790002037e-02
-1.050000000000000100e-01,1.317828030446293631e-02,-2.653893389299053635e-02,5.219520865058457221e-03,4.848199665446895588e-03,5.873453951514145954e-03,-2.043502704395702696e-02
-1.025000000000000078e-01,1.310546955499387531e-02,-2.589522983223574437e-02,5.218226893272301034e-03,4.846926506824908096e-03,5.775754589815051965e-03,-1.980175933994715587e-02
-1.000000000000000056e-01,1.302956323485257410e-02,-2.525811308737356889e-02,5.216909593793980608e-03,4.845726152915433640e-03,5.675309960632840545e-03,-1.917520200975905698e-02
-9.750000000000000333e-02,1.295061031605732223e-02,-2.462762814153926158e-02,5.215570239198260259e-03,4.844598149383079130e-03,5.572168627877155389e-03,-1.855540089527241143e-02
-9.500000000000001499e-02,1.286866026431038486e-02,-2.400381816346994213e-02,5.214210128504665615e-03,4.843542000559056433e-03,5.466379613317681740e-03,-1.794240058277293826e-02
-9.250000000000001277e-02,1.278376301833686508e-02,-2.338672500330685536e-02,5.212830585878774209e-03,4.842557170675844055e-03,5.357992378959508528e-03,-1.733624439967315634e-02
-9.000000000000001055e-02,1.269596896906576011e-02,-2.277638918885008593e-02,5.211432959270423729e-03,4.841643085182281876e-03,5.247056809366976160e-03,-1.673697441153526588e-02
-8.750000000000000833e-02,1.260532893866313751e-02,-2.217284992227134752e-02,5.210018618992289137e-03,4.840799132134539218e-03,5.133623193940714535e-03,-1.614463141940353230e-02
-8.500000000000000611e-02,1.251189415942787798e-02,-2.157614507728973854e-02,5.208588956242624253e-03,4.840024663658066065e-03,5.017742209146233701e-03,-1.555925495744381326e-02
-8.250000000000000389e-02,1.241571625256063932e-02,-2.098631119681545684e-02,5.207145381576143775e-03,4.839318997475348418e-03,4.899464900704572634e-03,-1.498088329089414250e-02
-8.000000000000001554e-02,1.231684720681688015e-02,-2.040338349106586915e-02,5.205689323327322704e-03,4.838681418494013807e-03,4.778842665739219120e-03,-1.440955341432686998e-02
